id	tok	eng	cmn
23728	ona li toki ike lon kalama.	He complained about the noise.	他抱怨這個噪音。
23729	ala lili la lete li moli e mi mute.	We almost froze to death.	
23730	mije ni li jo e lawa pi wawa mute.	He is very intelligent.	
23731	ona li jo e lawa pi wawa mute.		他聪明得很。
23732	jan li kama pakala la ona li pakala e jan.	Hurt people hurt people.	
23733	"ona li toki ""toki"" tawa meli."	He said hello to the woman.	
23734	sina awen tawa kama pi ijo seme?	What're you waiting for?	还在等什么呢！
23735	tenpo suno kama la kon sewi li pona ala pona?	Will the weather be good tomorrow?	
23736	lon ala lon?	No kidding?	
23737	ona li kama jo e moku e len.	They took food and clothing.	
23738	nasin pi jan Linkan li pona.	Lincoln's plan was good.	
23739	tenpo sike pini la sina jo e tomo lon seme?	Where did you live last year?	
23740	sina toki ala toki kepeken toki Italija?	Do you speak Italian?	
23741	mi moku ala e soweli.	I am a vegetarian.	
23742	mi moku ala e soweli.	I am a vegetarian.	
23743	mi moku ala e soweli.	I'm a vegetarian.	
23744	mi pana e sona pi nasin lawa tawa ona.	I explained the rules to her.	
23745	mi pana e sona pi nasin lawa tawa ona.	I explained the rules to her.	
23746	"toki Potuke la nimi ""sessão"" en nimi ""seção"" en nimi ""cessão"" li nimi pi kalama sama."	"A good example of homonyms in Portuguese are the words ""sessão"", ""seção"" and ""cessão""."	
23747	mama meli ona li kepeken e toki Italija.	His mother speaks Italian.	
23748	mije sama mi li jo e mani mute.		我弟弟很富有。
23749	mama mije mi li jo e mani mute.		我父親很富有。
23750	jan Ton li len e len lukin.	Tom wears an eyepatch.	
23751	mi kama tan ma Tuki.	I am from Turkey.	
23752	sina pilin e ni tan seme?	Why do you think that?	
23753	telo mama li jaki.	The milk is sour.	牛奶馊了。
23754	jan Pili li sitelen e lipu toki.	Bill wrote the letter.	
23755	ona li wawa mute.	He's very strong.	
23756	soweli tomo li tawa e linja sijelo ona.	The dog is wagging its tail.	
23757	jan li tawa lon ma pi telo ala, la tenpo mute la jan li kepeken soweli tawa pi nena monsi.	Camels are often used to travel in the desert.	
23758	o open ala e ona!	Don't open it.	
23759	ona li tawa li kama jo e ona lon tomo pi tomo tawa linja.	She picked him up at the station.	
23760	musi kulupu pi ona meli la ona mije li ken kama.	She invited him to her party.	
23761	mi wile awen tawa kama sina lon ni anu seme?	Should I wait for you here?	
23762	tomo sina li lon seme?	Where is your house?	您的家在哪？
23763	mi ken seli moku ala.	I don't know how to cook.	
23764	seme la mi ken kama lukin e tomo pi telo pi wawa seli?	Where can I find a petrol station?	
23765	tenpo seme la sina kama?	When are you coming?	你什么时候来？
23766	insa pi tenpo suli nanpa luka tu la o toki tawa mi kepeken ilo toki.	Call me at six-thirty, please.	
23767	o kama pakala!	Fuck off!	
23768	tenpo pimeja kama la, telo sewi li kama ala.	It isn't going to rain tonight.	
23769	ona li jan pi mani mama.	He's an aristocrat.	
23770	o jaki ala e ona.	Don't screw it up!	
23771	telo wawa seli li pona ala tawa mi.	I don't like coffee.	
23772	mi wile kama sona e toki Inli.		我想学英语。
23773	sina ken ala ken pana e pona ni: poki ni li wile lon tomo tawa?	Could you help me put these bags into the car?	您能帮我把这些包放到车里吗？
23774	tenpo ala la mi lukin moku e moku pi ma Sonko.		我從來沒有吃過中國菜。
23775	sina sona ala la o toki ala e ni: o tawa lon ni.	Don't say anything without thinking.	
23776	mi pona tawa jan ala.	Nobody likes me.	
23777	jan Ton li ike tawa mi.		我讨厌汤姆。
23778	jan Mewi taso li kama.	No one came except Mary.	除了瑪麗沒有人來。
23779	pali musi seme li pona mute tawa sina?	What's your favorite pastime?	
23780	o kama ala lon pilin utala.	Don't lose your temper.	
23781	ona li pali e len sin kepeken linja en palisa tawa ona.	She made a new suit for him.	
23782	mi kama wawa e ona.	I'll support him.	
23783	mi kama ala pakala e sina.	I won't hurt you.	
23784	o toki ala e nasa ike tawa mi.	Don't try to bullshit me.	
23785	o weka e ni!	Just forget it.	
23786	tomo tawa li laso.	The car is blue.	
23787	ona li kama jo e tomo tawa lon esun.	They bought a car.	
23788	ona li kama ala jo e moku pi mute pona.	They could not get enough food.	
23789	sina sona e nimi pi mije ni anu seme?	Do you know his name?	你知道他的名字吗？
23790	jan Ton li jo e tomo tawa kon pi ona sama.	Tom has a private jet.	
23791	sina pali ala anu seme?	You're not busy, are you?	
23792	ona li jo e mani mute. taso ona li pilin pona ala.	Although he is rich, he is not happy.	
23793	mi moli ala.	I'm not dead.	
23794	mi pilin sama e ni.	I see it the same way.	
23795	ni li tan pi pilin utala ona.		那就是他生气的理由。
23796	mi wile lukin e ona.	I'd like to see that.	
23797	jan li wile telo e tomo tawa ni.		这辆车需要清洗。
23798	jan lawa li moli. ni li kama e utala.	The death of the king brought about a war.	
23799	jan pi ike sijelo li awen lon supa lape.	The patient stayed in bed.	
23800	jan Ton li jo e palisa mije suli.	Tom has a huge cock.	
23801	sina jo e tenpo anu seme?	Have you got time?	你有空吗?
23802	o pali e ona lon nasin ni: mi toki e ona tawa sina.	Do it the way I told you to.	
23803	o awen sona e toki mi!	Remember what I tell you!	
23804	jan li lukin e ona lon weka, la ona li sama mije tawa lukin.	Seen from a distance, it looks like a man.	
23805	sina wile tawa.	You must go.	
23806	ala lili la ilo tawa li moli e ona.	He narrowly escaped being run over.	
23807	lili la lukin ona li kama weka.	He came close to losing an eye.	
23808	tomo Pukalipa li tomo pi suli nanpa wan lon ma ale.	Currently Burj Khalifa is the tallest skyscraper in the world.	目前哈里發塔是世界上最高的摩天大樓。
23809	jan sitelen li wile toki e seme? ni li ike sona.	It's not clear what the writer is trying to say.	
23810	ona li ante e nimi tu.	He changed a few words.	
23811	mi toki kepeken toki Epelanto.	I speak Esperanto.	
23812	nasin seme la mi mute li ken lawa e pali?	How can we put it into practice?	
23813	ona li kama moli.	She died.	她死了。
23814	ona li kama moli.		她死了。
23815	o awen tawa!		繼續走！
23816	sina toki pi ijo seme?	What are you talking about?	
23817	sina ken ala ken toki kepeken toki Epelanto?	Do you speak Esperanto?	
23818	tan seme la sina pini?	Why did you quit?	
23819	nasin seme la ni li kama: sina olin e ona meli?	How did you come to love her?	
23820	mi kepeken ona.	I'm using it.	
23821	mi kama lon ona lon tenpo pi mute ala.	I seldom see her.	
23822	mi kepeken e ilo.	I'm using tools.	
23823	mi jo e meli sama wan taso.	I have one sister.	
23824	o wawa!	Step on it!	加油！
23825	seme la mi ken kama jo e ko pona pi kiwen uta?	Where can I find toothpaste?	
23826	toki. mi sona pakala ala, la sina jan poka sin mi anu seme?	Good afternoon. You are our new neighbor, if I'm not mistaken?	
23827	mi wile ante e lon mi.	I want to change my life.	
23828	tenpo li kama ante.	Times are changing.	
23829	pakala li kama la ilo pi suno loje li open e suno ona.	The red lamp lights up in case of danger.	
23830	mije li olin e meli. meli li olin kin e mije.	He loves her. She loves him, too.	
23831	mi wile moku e moku Anku.		我想吃韩国菜。
23832	mama sewi o selo mama.	God forbid!	
23833	ni li ijo mi.	This is mine.	
23834	ni li ijo mi.	She's mine.	
23835	sina wile ala wile jan pona mi?	Do you want to be my friend?	
23836	mi pini lukin e lipu la mi tawa lape.		我讀完書之後就去睡覺。
23837	ona li kama jan lawa pi ma tomo.	He was elected mayor of the city.	他被选为市长。
23838	seme li suli nanpa wan lon ale?	What's most important in life?	
23839	mi wile toki e ni tawa sina: o pali sama toki lawa mi.	I must request you to obey my orders.	
23840	mi wile toki e ni tawa sina: o pali sama toki lawa mi.	I must request you to obey my orders.	
23841	jan lili ni li lukin wawa e lipu pi ma akesi.	The little girl was absorbed in reading a fairy tale.	
23842	mi wile tawa lape.	I need to go to bed.	
23843	tenpo suno pini la mi alasa e kala luka.	I caught five fish yesterday.	我昨天釣了五條魚。
23844	tenpo suno ni li suwi.	What a lovely day!	
23845	jan Ton li moku e kon seli mute.	Tom smokes like a chimney.	
23846	tenpo nanpa luka wan la o kama jo e nanpa tu tu. pini li seme?		6的4倍是多少?
23847	jan Ton li anpa.	Tom fell.	
23848	jan Ton li ante ala.	Tom hasn't changed.	
23849	jan Sonton li kama wile toki e ni: ona li kama anpa lon utala.	Johnston decided to surrender.	
23850	sina kama jo e tomo tawa ni lon esun anu seme?	Are you going to buy that car?	
23851	mi mute li tawa lon nasin la nasin li kama tan mi mute.	Roads emerge because we walk them.	
23852	sina sona ala sona e ni: kala li moku e akesi lili?	Did you know that carp eat tadpoles?	
23853	mi moku ala e soweli.	I'm a vegetarian.	
23854	o sike e ilo moku lon telo moku seli.	Stir the soup.	搅一下汤。
23855	nasin telo ni li jaki sama ni: kala li ken ala lon.	This river is so polluted that fish can no longer live in it.	
23856	pakala mi la o weka e toki mi lon sona sina.	I was wrong. Forget what I said.	
23857	mi jo e pona nasa.		我运气很好。
23858	jan Ton li kama nasa.		湯姆失去理智了。
23859	ona mute li pimeja walo.	They are gray.	
23860	ona mute li pimeja walo.	They are gray.	
23861	tenpo luka luka luka luka la jan Muwije li sike e suno.		Muiriel现在20岁了。
23862	sinpin la sina tawa lon ma la o pini e lupa suno.	Close the window before you leave.	
23863	mi toki pona e nasin tawa ona.	I explained the procedures to him.	
23864	jan Ton li pilin e ni: sina toki lon ala.	Tom thinks you're lying.	
23865	palisa mije li tawa lupa meli.	The penis entered the vagina.	
23866	tenpo lili mute li lon tenpo suli.		一分钟有六十秒。
23867	nasin ale li ale nasin.	The purpose of life is a life of purpose.	
23868	mi mute li wile kute e lawa.		我们必须遵守规则。
23869	mije sama sina li lon seme?	Where's your brother?	
23870	ona li awen lon poka pi weka mute.	She lives in Buttfuck.	
23871	jan Simisu li kama sona e nasin pi ma Sonko.		史密斯先生学了中国史。
23872	ona li lukin e pimeja sijelo ona la ona li pilin akesi.	He is afraid of his own shadow.	他怕自己的影子。
23873	mi wile pali e seme kepeken ni?	What am I supposed to do with that?	
23874	jan Ton li jan lawa.	Tom is the leader.	
23875	jan Ton li jan lawa.	Tom is the leader.	
23876	toki!	Hail!	
23877	ni li telo sijelo loje ala. ona li telo loje taso.	This isn't blood. It's just red paint.	
23878	ona li suli.	He is tall.	他高。
23879	jan Ton li pana e waso.	Tom set the bird free.	Tom將鳥放走。
23880	nasin seme la ale li kama?		宇宙是怎样形成的？
23881	tomo li sama ni la ni li pona tawa mi.	I like this house as it is.	
23882	sina kepeken e ni tawa seme?	What are you going to do with it?	
23883	sina a o kama wile.	You decide.	你来决定。
23884	sina taso wile tawa la o tawa.	If you insist on going alone, please do so.	
23885	mi wile kepeken e tomo telo.	I need to go to the toilet.	我要去廁所。
23886	mi wile tawa tomo telo.	I need to go to the toilet.	
23887	utala li utala ala. ken li ken ala. sona ala li wawa.		战争即和平，自由即奴役，无知即力量。
23888	sina moku e kili wan lon tenpo suno ale, la sina wile ala e jan sona pi pona sijelo.	An apple a day keeps the doctor away.	
23889	mama mi li moku e kon seli.	My father smokes.	
23890	sina kama lon ale lon sike suno seme?	In what year were you born?	
23891	jan pi pona sijelo li toki e seme?	What did the doctor say?	
23892	o pilin ala e ni: wawa mi li lili taso.	Do not underestimate my power.	
23893	o pona e tomo!	Clean the room.	
23894	sina wile e seme?	What do you want?	
23895	tenpo kama la sina pilin ike tan weka mi.	You'll miss me.	
23896	kon wawa la mi wile weka e tomo len mi.	I had to take down my tent because of the strong wind.	
23897	sewi li laso tan seme?	Why is the sky blue?	
23898	mije lili li ken ala moku e kon seli. taso ona li moku e kon seli.	The boy smoked even though it was not allowed.	
23899	telo sewi li kama anpa. taso ona li kama.	They came in spite of the rain.	
23900	sina pona tawa mi.	I like you.	
23901	sina mute li toki lon mute.	You guys are absolutely right.	
23902	sona sina li pakala la sona mi kin li pakala.	If you're wrong, then so am I.	
23903	mi jan pi mani mute la mi pana e mani tawa sina.	If I were rich, I'd give you money.	
23904	nimi sina li pona mute.	You have a beautiful name.	
23905	sina moku, la o lukin ala e sitelen.		别在吃饭时读书。
23906	ma tomo Ankala li ma tomo lawa pi ma Tuki.	Ankara is the capital of Turkey.	
23907	ona li tawa sewi kiwen.	She's going up the rock.	
23908	seme li ijo mi?	Which one's mine?	哪个是我的？
23909	mi kama jo e mani mute la mi kama jo e ni.	If I get rich, I will buy it.	
23910	mi kama jo e mani mute la mi kama jo e ni.	If I get rich, I will buy it.	
23911	sina wile tawa tan seme?		为什么你企图逃走？
23912	mi jo e lipu luka luka taso.	I have no more than ten books.	
23913	kasi li lon seme?	Where is the tree?	
23914	mi moku ala e soweli.	I am a vegetarian.	
23915	mi moku ala e soweli.	I'm a vegetarian.	
23916	mi moku ala e soweli.	I am a vegetarian.	
23917	mi wile e ilo pi kalama musi. a!	I want an MP3 player!	
23918	wile la kama nasa li moli ala e sina!	Hopefully, being ridiculous doesn't kill you !	
23919	mi ken kepeken toki Epanja.		我会说西班牙语。
23920	jan li kepeken toki seme lon ma Mewika?	What language do they speak in the United States?	
23921	jan li kepeken toki seme lon ma Mewika?	What language do they speak in the United States?	
23922	mi wile tawa ni.	I wanted to go there.	
23923	o kama pakala!	Go fuck yourself!	
23924	ona li nasa.	She's crazy.	
23925	ona li nasa.	She is crazy.	
23926	mi kama sona e toki Tuki.	I am learning Turkish.	我学土耳其语。
23927	telo lili li awen lon noka pi insa poki.	There was a little water left in the bottom of the bottle.	
23928	mi sama.	Same here.	我也是。
23929	meli li lon supa moku.	The woman is atop the table.	
23930	mi wile lape.	I'm sleepy.	我困了。
23931	o kepeken sona e lipu.	Choose a book carefully.	
23932	ni li musi lipu Mason.	This is mahjong.	
23933	mi mute li kama lon ni tan ni: mi mute li wile musi.	We came here to enjoy ourselves.	
23934	ma tomo li lape.	The town slept.	
23935	mi moku ala e soweli.	I'm vegetarian.	
23936	sina lon ma Elopa! a!	You're in Europe!	
23937	ijo pi nasin seme li ni?	What's the material?	
23938	meli sina li sona e ni la utala li kama tawa sina.	You'll get into trouble if your girlfriend finds out the truth.	
23939	lipu toki ona li wile sona mute.		她的書非常有趣。
23940	mi sona e jan Talo lon tenpo sike pi luka luka.		我認識太郎已經十年了。
23941	ona li jo e jan lili lon insa.	She is pregnant.	她懷孕了。
23942	mi moku ala e soweli.	I am a vegetarian.	
23943	mi moku ala e soweli.	I'm vegetarian.	
23944	mi moku ala e soweli.	I am a vegetarian.	
23945	ona li lon sinpin pi ilo jasima.	She stood before the mirror.	她站在镜子前。
23946	tenpo ni la jan ala li lon tomo pali.	At the moment, there isn't anybody in the office.	
23947	sina jo ala jo e pan?	Do you have rice?	
23948	mi mute li jo e sitelen lape sama.	We share a dream.	
23949	mi pilin tu: mi wile anu e seme.	I am of two minds about which to choose.	
23950	jan Pilu li open e ilo pi sitelen tawa.	Bill turned on the television.	
23951	mi pilin akesi.	I'm afraid.	
23952	sina awen lon tenpo pimeja pi mute seme?	How many nights will you stay?	
23953	ona li sama mama sama ona.	She resembles her aunt.	她长得像她姑姑。
23954	nimi ona li nasa.	He has an unpronounceable name.	
23955	selo pi telo sewi li ijo sina anu seme?	This is his umbrella, isn't it?	
